Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
TEMPLETON COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"89,52,366","69,35,337","20,17,029","2,81,442","2,92,956","3,35,178","3,83,624","4,21,000","4,56,163","4,79,859","5,02,453",,"3,35,178","3,71,954","4,00,427","4,14,307",,"3,35,178","3,95,764","4,57,540","5,26,203"
THE HOUSING AUTHORITY OF THE COUNTY OF KERN,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"3,39,18,214","2,59,47,810","79,70,404","7,32,548","9,59,524","11,29,422","12,97,135","14,45,189","15,78,815","16,09,029","16,85,850",,"11,29,422","12,57,135","13,59,655","14,04,173",,"11,29,422","13,39,135","15,71,189","18,30,815"
THERMALITO WATER AND SEWER DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"40,23,742","30,13,854","10,09,888","1,12,532","1,36,462","1,55,704","1,78,943","1,96,303","2,11,679","2,22,404","2,32,979",,"1,55,704","1,73,913","1,86,839","1,93,845",,"1,55,704","1,83,973","2,11,403","2,41,879"
THREE ARCH BAY COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"26,685","80,917","-54,232",0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
THREE RIVERS COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,55,121","1,24,120","31,001","4,866","5,593","6,513","7,499","8,249","8,904","9,363","9,827",,"6,513","7,399","8,001","6,977",,"6,513","7,799","8,849","10,204"
THREE VALLEYS MUNICIPAL WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"1,43,03,278","1,08,93,527","34,09,751","3,65,879","4,28,156","5,00,432","5,74,431","6,34,698","6,89,137","7,26,786","7,60,793",,"5,00,432","5,57,431","5,96,340","6,14,758",,"5,00,432","5,92,531","6,88,898","7,97,537"
TIBURON FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,0,0,0,"3,76,15,289","2,96,43,117","79,72,172","8,10,511","10,24,716","12,06,677","13,93,208","14,66,236","15,98,969","16,94,776","17,79,188",,"12,06,677","12,68,788","13,67,832","14,07,044",,"12,06,677","14,39,322","16,09,976","18,87,499"
TORRANCE CITY REDEVELOPMENT AGENCY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"31,702","10,27,390","-9,95,688",0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
TOWN OF APPLE VALLEY,CITY,,0,0,SAN BERNARDINO COUNTY,"4,38,64,277","3,05,75,398","1,32,88,879","15,49,615","17,07,510","19,21,172","21,53,229","23,42,218","25,15,106","26,47,121","27,65,491",,"19,21,172","21,04,429","22,43,257","23,13,191",,"19,21,172","22,03,129","24,94,718","28,22,306"
TOWN OF ATHERTON,CITY,,0,0,SAN MATEO COUNTY,"5,51,78,647","3,96,26,518","1,55,52,129","13,84,602","15,93,096","18,57,938","20,99,975","23,26,181","25,22,060","26,66,437","27,93,635",,"18,57,938","20,37,575","21,79,713","22,20,039",,"18,57,938","21,65,275","25,19,081","29,09,860"
TOWN OF COLMA,CITY,,0,0,SAN MATEO COUNTY,"3,52,15,939","2,49,29,314","1,02,86,625","12,62,878","14,21,870","15,99,320","17,87,044","19,42,804","18,30,953","18,46,982","19,33,301",,"15,99,320","17,48,044","18,61,571","16,69,640",,"15,99,320","18,27,044","20,63,904","20,75,253"
TOWN OF CORTE MADERA,CITY,,0,0,MARIN COUNTY,"6,06,63,224","4,22,61,187","1,84,02,037","18,48,390","20,36,632","23,31,604","23,61,490","26,07,551","28,25,591","29,85,565","31,27,090",,"23,31,604","22,94,390","24,54,153","25,13,913",,"23,31,604","24,30,690","28,14,951","32,42,291"
TOWN OF FAIRFAX,CITY,,0,0,MARIN COUNTY,"2,99,21,211","2,08,56,132","90,65,079","9,75,237","5,73,769","7,02,198","8,26,192","9,36,108","10,32,408","11,01,804","11,60,008",,"7,02,198","7,94,372","8,58,013","8,66,306",,"7,02,198","8,61,092","10,38,608","12,37,708"
TOWN OF HILLSBOROUGH,CITY,,0,0,SAN MATEO COUNTY,"9,03,34,256","6,53,49,587","2,49,84,669","24,21,502","28,38,063","32,73,664","36,96,471","40,72,170","44,06,399","46,51,084","48,68,251",,"32,73,664","35,94,761","38,44,647","39,39,908",,"32,73,664","38,04,291","43,93,320","50,51,329"
TOWN OF LOOMIS,CITY,,0,0,PLACER COUNTY,"47,87,925","36,20,739","11,67,186","88,619","1,20,571","1,42,728","1,65,381","1,84,643","2,01,972","2,13,371","2,23,842",,"1,42,728","1,59,381","1,71,210","1,75,165",,"1,42,728","1,71,381","2,02,643","2,37,972"
TOWN OF LOS ALTOS HILLS,CITY,,0,0,SANTA CLARA COUNTY,"1,30,09,907","97,27,269","32,82,638","2,80,319","3,41,007","4,00,762","4,56,555","5,08,411","5,54,439","5,84,806","6,13,935",,"4,00,762","4,41,055","4,66,668","4,72,350",,"4,00,762","4,73,155","5,56,111","6,51,339"
TOWN OF LOS GATOS,CITY,,0,0,SANTA CLARA COUNTY,"17,45,10,068","12,26,89,995","5,18,20,073","47,50,268","53,43,695","61,49,513","68,96,717","75,89,863","82,11,330","86,60,087","90,62,106",,"61,49,513","67,08,517","71,42,643","73,00,682",,"61,49,513","70,93,917","81,78,363","93,86,430"
TOWN OF MAMMOTH LAKES,CITY,,0,0,MONO COUNTY,"6,19,20,789","4,16,26,956","2,02,93,833","19,87,583","21,92,405","24,73,839","27,40,339","27,87,083","30,11,519","31,78,166","28,96,247",,"24,73,839","26,74,939","26,18,301","26,70,708",,"24,73,839","28,09,739","29,92,383","34,23,919"
TOWN OF MORAGA,CITY,,0,0,CONTRA COSTA COUNTY,"2,39,04,617","1,79,36,372","59,68,245","6,13,254","7,25,251","8,42,100","9,62,684","10,65,110","11,52,769","12,16,574","12,74,939",,"8,42,100","9,34,384","10,03,257","10,28,008",,"8,42,100","9,91,884","11,52,910","13,31,469"
TOWN OF PARADISE,CITY,,0,0,BUTTE COUNTY,"7,02,75,786","4,93,80,996","2,08,94,790","14,58,470","17,05,887","20,11,171","22,71,497","25,41,021","27,77,077","29,45,380","30,92,548",,"20,11,171","21,94,647","23,27,311","23,37,953",,"20,11,171","23,52,497","27,81,821","32,60,477"
TOWN OF PORTOLA VALLEY,CITY,,0,0,SAN MATEO COUNTY,"63,77,431","56,36,021","7,41,410","1,26,983","1,42,063","1,61,789","1,92,185","2,14,421","2,37,882","2,51,180","2,64,790",,"1,61,789","1,83,185","1,95,398","1,66,103",,"1,61,789","2,01,185","2,42,521","2,93,982"
TOWN OF ROSS,CITY,,0,0,MARIN COUNTY,"2,11,82,470","1,67,28,911","44,53,559","4,82,734","5,07,677","5,60,450","6,39,815","7,07,034","7,78,491","8,28,213","8,71,110",,"5,60,450","6,15,635","6,48,218","6,02,321",,"5,60,450","6,65,105","7,83,734","9,31,791"
TOWN OF SAN ANSELMO,CITY,,0,0,MARIN COUNTY,"4,87,61,344","3,38,40,766","1,49,20,578","11,41,141","13,63,175","14,77,311","15,96,646","17,28,646","18,50,929","19,46,401","20,24,973",,"14,77,311","15,33,546","15,47,596","14,62,218",,"14,77,311","16,63,846","19,25,146","22,39,929"
TOWN OF TIBURON,CITY,,0,0,MARIN COUNTY,"3,24,89,506","2,43,67,681","81,21,825","7,24,319","8,22,201","9,69,645","11,10,282","12,40,212","13,55,674","14,37,882","15,09,050",,"9,69,645","10,71,682","11,45,657","11,66,188",,"9,69,645","11,48,782","13,59,912","15,94,074"
TOWN OF TRUCKEE,CITY,,0,0,NEVADA COUNTY,"4,85,85,780","3,62,85,380","1,23,00,400","17,14,918","19,77,320","22,40,428","25,28,603","27,50,868","29,54,115","31,05,686","32,42,022",,"22,40,428","24,71,603","26,59,618","27,59,656",,"22,40,428","25,88,503","29,29,768","33,13,115"
TOWN OF WINDSOR,CITY,,0,0,SONOMA COUNTY,"3,89,22,083","2,96,84,895","92,37,188","10,48,230","12,21,307","14,17,923","16,24,420","17,92,184","19,42,749","20,51,237","21,48,374",,"14,17,923","15,78,020","16,92,701","17,48,735",,"14,17,923","16,73,920","19,39,684","22,39,949"
TOWN OF WOODSIDE,CITY,,0,0,SAN MATEO COUNTY,"1,19,51,750","84,65,479","34,86,271","3,90,773","4,37,253","4,95,442","5,57,902","6,08,867","6,55,962","6,88,114","7,19,670",,"4,95,442","5,44,802","5,83,287","5,98,676",,"4,95,442","5,72,002","6,51,067","7,40,562"
TOWN OF YOUNTVILLE,CITY,,0,0,NAPA COUNTY,"1,32,13,282","93,74,680","38,38,602","5,07,062","5,78,144","6,47,194","6,18,923","6,76,448","7,24,970","7,63,799","7,98,644",,"6,47,194","6,04,423","6,47,384","6,63,291",,"6,47,194","6,34,523","7,23,248","8,19,470"
TOWN OF YUCCA VALLEY,CITY,,0,0,SAN BERNARDINO COUNTY,"1,69,65,326","1,24,20,177","45,45,149","4,46,386","5,10,156","5,87,410","6,68,602","7,37,540","7,96,187","8,41,891","8,81,480",,"5,87,410","6,49,002","6,93,185","7,03,990",,"5,87,410","6,89,202","7,99,360","9,20,887"
TRABUCO CANYON WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"99,49,441","71,38,412","28,11,029","3,28,398","3,60,763","4,12,390","4,65,955","5,09,303","5,48,807","5,77,563","6,03,518",,"4,12,390","4,54,935","4,87,713","5,04,486",,"4,12,390","4,77,985","5,44,383","6,19,957"
TRACY RURAL COUNTY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,0,0,0,"1,40,94,826","96,07,862","44,86,964","3,02,887","4,29,165","4,30,690","4,41,400","4,59,000","4,78,000","4,97,000","5,10,000",,"4,30,690","4,19,000","3,95,000","3,51,000",,"4,30,690","4,62,110","5,23,300","6,04,570"
TRANSBAY JOINT POWERS AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"39,73,776","32,49,139","7,24,637","2,36,087","2,16,929","2,44,924","2,81,760","3,02,604","3,22,647","3,37,776","3,51,186",,"2,44,924","2,75,760","2,99,660","2,63,187",,"2,44,924","2,86,860","3,18,804","3,55,947"
TRANSPORTATION AGENCY FOR MONTEREY COUNTY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"47,20,168","42,02,970","5,17,198","1,10,626","1,30,845","1,51,134","1,81,524","2,02,023","2,20,660","2,33,431","2,44,339",,"1,51,134","1,74,454","1,89,619","1,69,927",,"1,51,134","1,87,594","2,22,223","2,62,060"
TREASURE ISLAND DEVELOPMENT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"74,476","46,652","27,824","5,578","6,862","6,900","6,900","7,000",340,440,510,,"6,900","6,800",370,0,,"6,900","7,000","7,300",970
TRI-CITY MENTAL HEALTH CENTER,,,0,0,0,"2,28,76,344","1,82,31,874","46,44,470","8,71,074","10,40,328","11,75,283","13,40,920","14,53,948","15,56,876","16,36,733","17,07,545",,"11,75,283","13,10,920","14,12,385","14,61,093",,"11,75,283","13,69,920","15,43,948","17,38,876"
TRI-COUNTIES ASSOCIATION FOR THE DEVELOPMENTALLY DISABLED,,,0,0,0,"8,76,80,581","7,16,16,532","1,60,64,049","23,51,184","22,54,295","26,88,817","31,64,629","35,09,798","38,27,682","40,43,332","42,45,802",,"26,88,817","30,49,629","32,81,016","22,83,752",,"26,88,817","32,85,629","38,74,798","45,61,682"
TRI-COUNTY SCHOOLS INSURANCE GROUP,,,0,0,0,"27,90,985","20,60,725","7,30,260","59,947","72,004","84,213","96,150","1,07,264","1,16,412","1,23,594","1,29,812",,"84,213","92,150","98,466","99,949",,"84,213","99,150","1,17,264","1,37,412"
TRI-DAM PROJECT,,,0,0,0,"1,92,33,872","1,37,37,437","54,96,435","4,96,501","5,53,609","6,40,107","7,23,707","8,01,477","8,70,499","9,18,279","9,62,725",,"6,40,107","7,02,607","7,49,969","7,62,790",,"6,40,107","7,46,807","8,69,677","10,07,899"
TRINDEL INSURANCE FUND,,,0,0,0,"10,25,606","8,77,654","1,47,952","78,337","77,708","85,188","96,826","1,03,062","1,09,274","1,14,464","1,19,535",,"85,188","95,626","1,04,256","99,246",,"85,188","98,026","1,07,562","1,18,374"
TRINITY PUBLIC UTILITIES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,25,94,368","94,30,181","31,64,187","5,27,471","5,95,962","5,11,354","5,86,434","6,41,377","6,91,716","7,28,458","7,61,375",,"5,11,354","5,71,404","6,15,399","6,39,834",,"5,11,354","6,02,464","6,88,477","7,85,916"
TRUCKEE DONNER PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"4,29,98,933","3,14,81,007","1,15,17,926","12,56,328","14,56,597","16,63,046","18,87,816","20,70,715","22,36,473","23,58,714","24,66,965",,"16,63,046","18,38,416","19,69,501","20,30,018",,"16,63,046","19,40,116","22,27,815","25,51,373"
TRUCKEE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,0,0,0,"3,79,49,675","2,89,70,980","89,78,695","12,68,606","15,00,963","17,07,262","19,40,059","21,14,308","22,71,757","23,90,136","24,95,490",,"17,07,262","18,94,948","20,40,806","21,20,454",,"17,07,262","19,86,171","22,55,748","25,53,527"
TRUCKEE SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"2,54,66,880","1,88,02,686","66,64,194","6,27,587","7,23,290","8,35,472","9,53,275","10,56,478","11,49,056","12,14,921","12,73,983",,"8,35,472","9,23,175","9,86,607","10,07,451",,"8,35,472","9,84,375","11,49,878","13,36,856"
TRUCKEE TAHOE AIRPORT DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"85,95,958","61,86,493","24,09,465","2,62,796","3,06,830","3,49,437","3,94,258","4,31,223","4,65,376","4,90,415","5,12,543",,"3,49,437","3,84,048","4,12,720","4,23,078",,"3,49,437","4,04,568","4,62,023","5,26,976"
TULARE MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,0,0,0,"26,18,955","23,97,593","2,21,362","21,308","32,541","38,311","47,069","55,159","63,376","66,240","71,363",,"38,311","43,969","32,098","34,843",,"38,311","51,169","67,559","87,976"
TULARE PUBLIC CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"15,50,334","20,08,848","-4,58,514","19,728","23,673","25,440","28,966","29,248","30,125","31,029","31,960",,"25,440","28,946","31,157","34,090",,"25,440","28,986","29,268","31,144"
TUOLUMNE FIRE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"3,08,668","2,30,487","78,181","14,876","20,586","22,645","25,273","26,888","28,518","28,425","29,548",,"22,645","24,873","25,430","26,858",,"22,645","25,573","27,988","31,118"
TUOLUMNE UTILITIES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"4,37,05,570","3,11,89,039","1,25,16,531","14,28,354","16,79,716","15,11,401","17,16,395","18,94,531","20,54,370","21,68,333","22,71,042",,"15,11,401","16,66,895","17,81,417","18,22,724",,"15,11,401","17,68,795","20,49,731","23,66,970"
TURLOCK MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,0,0,0,"65,06,885","47,83,417","17,23,468","1,37,044","1,66,088","1,96,156","2,24,142","2,49,311","2,72,358","2,87,204","3,02,291",,"1,96,156","2,15,932","2,30,321","2,32,107",,"1,96,156","2,31,342","2,73,811","3,20,558"
TWAIN HARTE COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"27,97,344","23,65,188","4,32,156","1,51,670","1,73,034","1,93,721","2,22,586","2,38,184","2,52,949","2,64,888","2,76,004",,"1,93,721","2,18,586","2,37,795","2,20,602",,"1,93,721","2,25,586","2,49,184","2,75,949"
TWENTYNINE PALMS WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"1,22,30,078","96,69,480","25,60,598","3,10,606","3,37,573","3,89,515","4,50,509","5,00,968","5,45,799","5,77,819","6,05,065",,"3,89,515","4,36,479","4,70,537","4,60,967",,"3,89,515","4,65,539","5,47,048","6,36,969"
TWIN RIVERS UNIFIED SCHOOL DISTRICT,SCHOOL DISTRICT,,0,0,0,"97,17,501","74,91,684","22,25,817","5,24,950","5,71,454","6,35,687","6,98,256","7,50,099","7,97,214","8,34,615","8,69,318",,"6,35,687","6,86,956","7,41,736","7,78,167",,"6,35,687","7,10,556","7,86,999","8,70,014"
UKIAH VALLEY FIRE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"50,78,714","38,31,162","12,47,552","1,29,986","1,65,657","1,90,970","2,16,096","2,41,648","2,61,313","2,76,086","2,88,979",,"1,90,970","2,11,096","2,29,752","2,36,878",,"1,90,970","2,23,096","2,60,648","2,98,313"
UNION PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"17,26,888","13,21,250","4,05,638","63,385","65,647","74,222","56,842","63,767","69,720","74,702","77,713",,"74,222","54,842","59,933","37,182",,"74,222","58,842","70,767","82,720"
UNION SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,ALAMEDA COUNTY,"13,19,97,730","8,69,50,874","4,50,46,856","35,32,193","41,99,380","48,91,530","55,51,358","61,15,278","66,16,907","69,68,294","72,81,493",,"48,91,530","54,17,358","58,03,944","59,82,839",,"48,91,530","56,91,358","65,35,278","74,57,907"
UNITED WATER CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"3,81,23,476","2,77,50,187","1,03,73,289","10,34,783","11,98,102","13,79,948","15,70,102","17,30,268","18,72,193","19,76,397","20,69,100",,"13,79,948","15,25,902","16,37,617","16,78,856",,"13,79,948","16,15,402","18,67,968","21,50,493"
UNIVERSITY ENTERPRISES CORPORATION AT CSUSB,,,0,0,0,"2,47,54,532","2,11,56,435","35,98,097","6,60,174","7,46,808","8,34,036","9,63,397","10,71,298","11,67,517","12,35,372","12,93,884",,"8,34,036","9,30,397","10,07,767","8,01,284",,"8,34,036","9,98,697","11,77,298","13,78,517"
"UNIVERSITY ENTERPRISES, INC.",,,0,0,0,"5,83,94,329","4,37,15,596","1,46,78,733","15,06,385","17,69,584","20,66,887","23,74,867","26,49,723","28,82,625","30,44,604","31,87,692",,"20,66,887","23,05,867","24,97,598","25,73,327",,"20,66,887","24,46,867","28,66,723","33,18,625"
UNIVERSITY STUDENT UNION CALIFORNIA STATE UNIVERSITY STANISLAUS,,,0,0,0,"7,30,440","5,40,587","1,89,853","33,626","35,593","39,845","45,717","48,623","52,553","54,479","52,422",,"39,845","44,697","49,660","49,373",,"39,845","46,747","51,693","57,683"
UPLAND CITY HOUSING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"46,27,229","33,99,087","12,28,142","88,564","97,708","1,17,569","1,35,051","1,52,223","1,68,430","1,78,673","1,87,953",,"1,17,569","1,30,051","1,37,589","1,38,710",,"1,17,569","1,41,051","1,69,223","2,02,430"
UPPER SAN GABRIEL VALLEY MUNICIPAL WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"88,47,808","65,76,150","22,71,658","2,71,693","3,02,614","3,45,536","3,90,298","4,29,011","4,62,910","4,87,802","5,09,791",,"3,45,536","3,80,198","4,06,890","4,17,191",,"3,45,536","4,01,398","4,61,411","5,28,710"
VACAVILLE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,0,0,0,"29,31,299","22,16,676","7,14,623","75,539","89,006","1,03,342","1,16,883","1,28,500","1,40,165","1,47,880","1,54,646",,"1,03,342","1,12,883","1,21,522","1,24,390",,"1,03,342","1,19,883","1,39,500","1,62,165"
VACAVILLE-ELMIRA CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,0,0,0,"20,26,887","15,69,700","4,57,187","42,474","52,914","61,694","72,173","78,447","86,450","91,484","95,549",,"61,694","68,113","73,533","74,818",,"61,694","73,516","86,547","1,01,630"
VALLECITOS WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"6,71,64,504","5,00,23,070","1,71,41,434","18,67,384","20,83,713","23,92,999","27,23,373","30,04,184","32,55,102","34,36,962","35,97,702",,"23,92,999","26,43,973","28,33,124","29,08,147",,"23,92,999","28,05,673","32,53,284","37,55,402"
VALLEJO SANITATION AND FLOOD CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,FLOOD CONTROL DISTRICT,0,0,0,"7,60,43,616","5,42,67,390","2,17,76,226","19,99,188","22,76,971","26,27,727","29,70,413","32,80,507","35,57,592","37,58,702","39,35,870",,"26,27,727","28,85,313","30,76,893","31,41,212",,"26,27,727","30,60,513","35,50,807","41,00,292"
VALLEY CENTER MUNICIPAL WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"5,24,40,180","3,06,40,129","2,18,00,051","21,34,148","23,49,025","25,82,904","28,40,764","30,63,189","32,70,462","34,33,639","35,81,625",,"25,82,904","27,92,744","29,51,907","30,42,384",,"25,82,904","28,91,784","32,16,249","35,77,552"
VALLEY COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"1,31,26,787","95,09,866","36,16,921","4,04,993","4,43,697","5,08,721","5,73,836","6,29,370","6,80,168","7,16,586","7,48,872",,"5,08,721","5,58,806","5,99,860","6,15,254",,"5,08,721","5,89,876","6,77,480","7,75,368"
"VALLEY MOUNTAIN REGIONAL CENTER, INC.",,,0,0,0,"6,81,23,000","5,68,60,517","1,12,62,483","12,79,399","15,48,662","18,05,829","21,20,790","23,90,143","26,22,588","27,97,155","29,46,880",,"18,05,829","20,27,790","22,02,154","14,83,370",,"18,05,829","22,18,790","26,85,143","32,16,588"
VALLEY OF THE MOON WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"78,65,975","54,25,036","24,40,939","1,79,655","2,20,587","2,55,298","2,85,382","3,16,291","3,44,379","3,62,147","3,79,299",,"2,55,298","2,77,282","2,93,697","2,94,713",,"2,55,298","2,94,482","3,43,591","3,98,879"
VALLEY SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,02,90,374","78,19,898","24,70,476","3,16,266","3,68,211","4,19,619","4,75,813","5,19,757","5,58,940","5,75,368","6,01,849",,"4,19,619","4,62,813","4,81,588","5,00,461",,"4,19,619","4,88,813","5,58,757","6,37,940"
VALLEY SPRINGS PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"9,21,227","6,92,462","2,28,765","20,555","23,583","25,871","30,780","32,413","35,755","38,108","39,471",,"25,871","29,080","29,919","29,938",,"25,871","30,119","36,503","42,905"
VALLEY-WIDE RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,0,0,0,"1,23,16,487","85,40,119","37,76,368","4,28,688","5,10,014","5,73,765","6,42,368","6,98,050","7,48,117","7,76,676","8,10,937",,"5,73,765","6,29,068","6,73,450","6,91,866",,"5,73,765","6,56,568","7,39,850","8,33,817"
VANDENBERG VILLAGE COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"49,41,076","37,15,522","12,25,554","1,39,065","1,61,895","1,85,078","2,12,544","2,31,508","2,50,973","2,64,542","2,76,219",,"1,85,078","2,05,854","2,20,031","2,26,473",,"1,85,078","2,17,177","2,50,585","2,88,103"
VENTURA COLLEGE FOUNDATION,,,0,0,0,"9,16,971","7,22,575","1,94,396","50,769","55,883","61,360","69,370","65,002","68,396","72,043","75,684",,"61,360","68,330","63,292","56,134",,"61,360","70,430","68,122","75,666"
VENTURA COUNTY LAW LIBRARY,,,0,0,VENTURA COUNTY,"17,25,067","13,25,670","3,99,397","26,187","33,097","38,910","46,011","50,577","55,954","60,343","63,743",,"38,910","42,931","45,223","44,362",,"38,910","46,258","57,687","70,144"
VENTURA COUNTY SCHOOLS BUSINESS SERVICES AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,VENTURA COUNTY,"38,46,437","29,22,374","9,24,063","1,36,627","1,44,813","1,65,023","1,88,853","1,90,998","2,06,238","2,17,575","2,27,013",,"1,65,023","1,83,853","1,81,584","1,88,704",,"1,65,023","1,93,853","2,04,998","2,35,238"
VENTURA COUNTY SCHOOLS SELF-FUNDING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,VENTURA COUNTY,"37,32,546","26,52,639","10,79,907","1,15,089","1,39,410","1,56,614","1,73,908","1,90,081","2,05,319","2,15,625","1,88,008",,"1,56,614","1,71,164","1,80,676","1,85,351",,"1,56,614","1,78,924","2,04,130","2,31,419"
VENTURA COUNTY TRANSPORTATION COMMISSION,SPECIAL DISTRICT/AUTHORITY,,0,0,VENTURA COUNTY,"92,53,305","72,28,688","20,24,617","2,00,366","2,51,582","2,95,916","3,41,905","3,80,667","4,14,738","4,39,673","4,60,777",,"2,95,916","3,30,825","3,55,995","3,64,319",,"2,95,916","3,53,985","4,16,967","4,87,238"
VENTURA PORT DISTRICT,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,35,52,441","1,00,58,526","34,93,915","4,62,267","5,13,581","5,78,312","5,27,809","5,84,245","6,34,609","6,71,498","7,03,610",,"5,78,312","5,12,769","5,49,692","5,64,832",,"5,78,312","5,44,859","6,34,385","7,34,889"
VENTURA RIVER COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,0,0,0,"19,88,145","15,86,475","4,01,670","54,599","55,851","65,896","76,894","85,311","92,626","98,082","1,03,570",,"65,896","74,864","82,123","83,181",,"65,896","79,934","93,421","1,08,836"
VICTOR VALLEY TRANSIT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,0,0,0,"11,41,230","9,60,228","1,81,002","1,16,642","1,39,028","1,50,811","1,70,199","1,79,942","1,88,918","1,83,932","1,91,087",,"1,50,811","1,69,199","1,83,017","1,75,899",,"1,50,811","1,72,299","1,84,242","1,98,418"
VICTOR VALLEY WASTEWATER RECLAMATION AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,0,0,0,"1,84,09,206","1,29,10,910","54,98,296","5,90,929","6,92,674","7,82,397","8,77,134","9,55,475","10,27,865","10,82,315","11,30,836",,"7,82,397","8,56,834","9,11,091","9,41,545",,"7,82,397","8,98,434","10,19,375","11,56,665"
